soc10m,sc2010mg,N,w_human_E1,w_human_E2,emmr_human
1226  'Travel agency mngrs and prprtrs',122,19.00000023841858,3.814798213541508,10.42526000738144,.47512779
1241  'Health care practice mngrs',124,80.75000011920929,9.735302180051804,42.06979142874479,.38105509
"1242  'Residential, day and domic care mngrs and prprtrs'",124,43.35000050067902,13.71145546808839,15.89191136136651,.49959424
"1251  'Property, housing and estate mngrs'",125,137.8500007390976,31.43002890050411,57.75836181640625,.43749881
1252  'Garage mngrs and Prprtrs',125,29.25000011920929,2.664377893321216,9.636292519047856,.25581279
1253  'Hairdressing and beauty salon mngrs and Prprtrs',125,30.40000021457672,6.488213781267405,11.59878776594996,.4041976
1254  'Shopkeepers and Prprtrs ? wholesale and retail',125,134.7000004649162,28.63014183752239,60.22917777299881,.43611529
1255  'Waste disposal and environmental services mngrs',125,87.65000021457672,19.32941002398729,33.89530339464545,.41388547
1259  'mngrs and Prprtrs in other services n.e.c.',125,406.6328424811363,94.33411740511656,190.3547067418694,.46605057
2111  'Chemical scientists',211,76.95000040531158,13.57304414734244,26.90840215608478,.35123125
2112  'Biological scientists and biochemists',211,233.6444724202156,50.02158163115382,92.3941971771419,.41181663
2113  'Physical scientists',211,80.35000038146973,21.16960496455431,37.97879973053932,.49980092
2114  'Social and humanities scientists',211,204.9500006437302,54.12700451165438,107.3051827587187,.52588236
2119  'Natural and social science professionals n.e.c.',211,53.25000023841858,16.92948050051928,17.43114233016968,.48159721
2121  'Civil engineers',212,210.4000015258789,30.76858960092068,107.1202142387629,.40080178
2122  'Mechanical engineers',212,71.76022753119469,23.01589043810964,52.606405492872,.68727612
2123  'Electrical engineers',212,.651978075504303,.1070370376110077,.6107407808303833,.75664079
2124  'Electronics engineers',212,.5685255527496338,.2246192842721939,.3045685291290283,.75664079
2126  'Design and development engineers',212,169.1417889669538,110.1602206965908,265.3811694309115,1.4357824
2127  'Production and process engineers',212,77.55000030994415,12.41180897317827,34.55100559256971,.38281512
2129  'Engineering professionals n.e.c.',212,30.6213151216507,7.852050591260195,18.8331503123045,.56394136
2133  'IT specialist mngrs',213,216.650001168251,57.37948338314891,121.2162088342011,.54460001
2134  'IT project and programme mngrs',213,32.05000030994415,2.635345265269279,23.81355382502079,.45373237
"2135  'IT business analysts, archtcts and systms designers'",213,142.6999998688698,36.87212254665792,87.67587157711387,.56559259
2136  'Programmers and software development professionals',213,92.70000064373016,22.34322620928288,63.29476730525494,.58242297
2137  'Web design and development professionals',213,92.14013049006462,38.93812385201454,84.5638115555048,.88148379
2139  'IT and telecommunications professionals',213,298.2500017881393,74.41502981632948,188.4465056397021,.56542593
2141  'Conservation professionals',214,85.85000026226044,27.06228260695934,43.15235247462988,.56655163
2142  'Environment professionals',214,203.7000015377998,59.96849250793457,100.9610556177795,.54221416
2150  'Research and development mngrs',215,43.55000007152557,11.50898116827011,21.14361146092415,.50702149
2211  'Medical practitioners',221,396.2500028014183,60.8517705053091,136.4016291499138,.32568476
2212  'Psychologists',221,235.3000007867813,59.33417407050729,96.28855170682073,.456772
2213  'Pharmacists',221,33.19999986886978,7.336914949119091,8.077267058193684,.342637
2214  'Ophthalmic opticians',221,34.20000004768372,3.148619312793016,8.606333889067173,.21788849
2215  'Dental practitioners',221,81.60000032186508,6.777756504714489,14.36502388119698,.17108172
2216  'Veterinarians',221,33.90000015497208,3.390953160822392,7.24003766104579,.20681334
2217  'Medical radiographers',221,88.75000065565109,8.848446194082499,29.76546125113964,.26739353
2218  'Podiatrists',221,20.75000011920929,4.043288640677929,4.030491948127747,.29197758
2219  'Health professionals n.e.c.',221,284.7500015497208,50.06022363528609,92.00307003594935,.33735472
2221  'Physiotherapists',222,34.25000035762787,5.754496991634369,11.55902745202184,.33675945
2222  'Occupational therapists',222,32.15000003576279,5.468765497207642,11.84748982265592,.35435492
2223  'Speech and language therapists',222,35.14999997615814,5.872388780117035,16.21016135439277,.39765206
2229  'Therapy professionals n.e.c.',222,76.2126339673996,17.47522401809692,30.81586827337742,.43146598
2231  'Nurses',223,263.0000012516975,35.72019726783037,83.26612685248256,.29411885
2232  'Midwives',223,37.80000019073486,4.705014396458864,10.66843600571156,.26558816
